,name,add
30,떡볶이스타,서울특별시 강북구 월계로 53 1층 4호
31,솔샘떡방,서울특별시 강북구 솔샘로 228 1층 1호
32,종로떡집,서울특별시 강북구 숭인로 57-1 종로떡집
33,"카페베네 삼양사거리
점",서울특별시 강북구 솔샘로 223 카페베네 삼양사거리점
34,"파리바게뜨 미아중앙
점",서울특별시 강북구 도봉로 146 1층 파리바게뜨
35,파리바게뜨미아경남점,서울특별시 강북구 오패산로 130 1층
36,골목길 카페,서울시 강북구 삼양로35가길 1 골목길 카페
37,서울떡집,서울특별시 강북구 솔샘로 237 서울떡집
38,땡큐베이커리,서울특별시 강북구 오패산로30길 30 1층 112호
39,삼양다방,서울특별시 강북구 삼양로 170 지하1층
40,카페시집,서울특별시 강북구 솔샘로 301 지하1층 카페시집
41,"이디야커피 미아송천
점",서울특별시 강북구 삼양로 118 2층
42,카페소소,"서울특별시 강북구 솔샘로64길 21 1층, 카페소소"
43,카페85도,서울특별시 강북구 삼양로19길 59 102호
44,삼부자,서울특별시 강북구 솔매로43길 71 1층
45,이엔바이(이n바이),서울특별시 강북구 솔매로 112 1층
46,사임당떡고을,서울특별시 강북구 삼양로 172 사임당떡고을
47,디오카페,서울특별시 강북구 솔매로31길 2 1층 디오카페
48,유월보름,서울특별시 강북구 도봉로29길 16 1층 유월보름
49,미아역점,서울특별시 강북구 도봉로 207 대양빌딩 1층
50,우리떡방아간,서울특별시 강북구 오패산로52길 46 지층
51,느림의미학,서울특별시 강북구 솔매로 60 1층
52,행복한커피,서울특별시 강북구 도봉로 34 1층75호
53,런커피,서울특별시 강북구 솔샘로 184 제상가1동 제지1층 제비 121호
54,"커피홀 미아롯데캐슬
점",서울특별시 강북구 오현로 56 101동 1층 1호 커피홀
55,"순카롱(soonca
ron)",서울특별시 강북구 삼양로57길 3 1층 2호
56,모어댄커피,서울특별시 강북구 삼양로27길 56 1층
57,쥬씨&차얌삼양점,서울특별시 강북구 솔샘로 232 솔샘빌딩 104호
58,타프(TAF),서울특별시 강북구 오패산로30길 73 1층
59,매스앤플레이,서울특별시 강북구 삼양로 169 3층
60,커피앤그릴,서울특별시 강북구 도봉로 34 9002호
61,라돌체비타,서울특별시 강북구 삼양로19길 25 108동 3호
62,"뚜레쥬르 송천센트레
빌점",서울특별시 강북구 숭인로 39 상가-109
63,수미네떡집,서울특별시 강북구 월계로7길 63 수미네떡집
64,뚜레쥬르,서울특별시 강북구 도봉로 177 1층 뚜레쥬르
65,"뚜레쥬르 미아래미안
점",서울특별시 강북구 삼양로19길 25 107동 지하1층 제3-1호
66,브레드앤밀,서울특별시 강북구 삼양로27길 43 1층106호
67,카베,서울특별시 강북구 솔매로44길 5 1층
68,해피브레드,서울특별시 강북구 솔샘로 184 제1상가 1동 지하2층 B207
69,아는카페,서울특별시 강북구 솔매로50길 50 1층
70,"파리바게트 북한산시
티점",서울특별시 강북구 솔샘로35길 22 1층 파리바게트
71,파리바게뜨까페미아역,서울특별시 강북구 도봉로 178 1층 파리바게뜨
72,메가커피 삼양점,서울특별시 강북구 솔샘로 213-2 1층 우측
73,꽈배기킹 꿈의숲점,서울특별시 강북구 오현로 38 1층
74,비미남경,서울특별시 강북구 솔샘로67길 113 1층
75,도본,서울특별시 강북구 도봉로 284 2층
76,"커피에반하다 강북도
봉로점",서울특별시 강북구 도봉로13길 37 1층 커피에반하다
77,이디야,서울특별시 강북구 도봉로 128 1층 이디야
78,마마꿀단지,서울특별시 강북구 삼양로19길 157 부상가 105호
79,파리바게뜨 미아신일,서울특별시 강북구 도봉로 237 파리바게뜨 미아신일점
80,대성떡집,서울특별시 강북구 오패산로30길 27 대성떡집
81,"이디야 미아사거리역
점",서울특별시 강북구 도봉로10길 28 1층 이디야커피
82,아몬드,서울특별시 강북구 도봉로68길 36 1층 아몬드
83,공간,"서울특별시 강북구 월계로 53 108호, 202호(미아동)"
84,소희네,서울특별시 강북구 도봉로10길 67 1층
85,"이디야커피 꿈의숲해
링턴점",서울특별시 강북구 오현로 45 108동 상가 2-7 이디야커피
86,이디야커피,서울특별시 강북구 솔샘로 257 1층(미아동)
87,이디야미아삼거리점,서울특별시 강북구 도봉로 45 이디야미아삼거리점
88,케익하우스몽마,서울특별시 강북구 도봉로 209-1 1층
89,"이디야커피(삼양시장
점)",서울특별시 강북구 삼양로 234 1층 이디야커피
90,킹스턴커피(미아점),서울특별시 강북구 도봉로 174 1층 1호
91,에그머니나,"서울특별시 강북구 솔매로 64-1 1층, 에그머니나"
92,카페공방향,서울특별시 강북구 삼양로27길 52 1층
93,아이스킹,서울특별시 강북구 도봉로67길 40 1층
94,카페인중독 미아점,서울특별시 강북구 오패산로30길 55 카페인중독
95,커피베이 솔샘역점,서울특별시 강북구 솔샘로 203 1층 커피베이(미아동)
96,"파리바게뜨(미아사거
리역점)",서울특별시 강북구 도봉로8길 11 파리비게뜨
97,커피소리,서울특별시 강북구 솔매로50길 68 1층 왼쪽
98,달코롬커피앤디저트,"서울특별시 강북구 오현로 45 상가 108동 2-3A,B호"
99,커피둥지,서울특별시 강북구 솔매로50길 27 1층
100,커피가게,"서울특별시 강북구 삼양로 201 101호,102호"
101,"삼각산고등학교 사회
적협동조합",서울특별시 강북구 삼양로19길 40 1층
102,주주커피,서울특별시 강북구 솔샘로 167 236호 주주커피
103,벤투라커피,서울특별시 강북구 도봉로10다길 7-1 벤투라커피
104,스팀,서울특별시 강북구 솔샘로 184 상가동 1동 지층 비125호
105,아미네,서울특별시 강북구 솔매로46길 33 1층 카페 아미네
106,하루당,서울특별시 강북구 솔매로 122 카페 하루당
107,"우스1123(Oot
h1123)",서울특별시 강북구 오현로4길 12 상가 104호
108,이디야(삼각산점),서울특별시 강북구 솔샘로40길 3 이디야
109,파블로,서울특별시 강북구 도봉로 166 1층 파블로
110,컴 어크로스,서울특별시 강북구 삼양로54길 124 1층
111,용커피,서울특별시 강북구 도봉로13길 22 1층 우측 용커피
112,"쥬뜨블룸(zoet
bloem)",서울특별시 강북구 솔샘로 167 벽산라이브파크 상가 237호
113,시퀀스,서울특별시 강북구 도봉로20가길 71 2층
114,디저트슈퍼마켓,서울특별시 강북구 도봉로30길 27 1층
115,티아드,서울특별시 강북구 삼양로27길 19 204동 상가 TIA:D 카페
116,종관과자점,서울특별시 강북구 삼양로28길 5 1층
117,드롭바이드롭,서울특별시 강북구 도봉로68길 33 지층 1층
118,카카오클락,서울특별시 강북구 덕릉로28길 9 1층 카카오클락
119,카페 라온,서울특별시 강북구 오패산로 114 1층 카페 라온
120,부부떡집,서울특별시 강북구 솔샘로50길 4 부부떡집
121,셀렉토커피 미아점,서울특별시 강북구 도봉로 177 셀렉토커피 미아
122,"아이스크림 다있지롱
솔샘점",서울특별시 강북구 솔샘로 167 상가동 지하2층 232호
123,"더벤티 미아사거리역
점",서울특별시 강북구 도봉로 63 1층
124,"커피베이 미아유병원
점",서울특별시 강북구 도봉로 77 1층 101호
125,지유명차 미아점,서울특별시 강북구 솔매로49길 8 2층
126,카페푸릇,서울특별시 강북구 삼양로19길 157 상가2동 지층 B102
127,빈트로,서울특별시 강북구 솔샘로65길 134 1층 정면점포
128,대복떡방앗간,서울특별시 강북구 도봉로50길 12 1층
129,카페쿰,서울특별시 강북구 도봉로30길 41 1층
130,그라운드 플로어,서울특별시 강북구 솔매로45길 50 1층
131,용커피,서울특별시 강북구 오패산로30길 6 1층
132,"아이케이크유(I C
ake U)",서울특별시 강북구 도봉로4길 31 2층
133,1호기,서울특별시 강북구 월계로7길 5 1층
134,"쁘띠따쁘띠 디저트카
페",서울특별시 강북구 삼양로57길 17 1층
135,빵데이,서울특별시 강북구 솔샘로 237 1층 빵데이
136,"다솜 케이크 디저트
커피",서울특별시 강북구 솔매로 88 1층
137,제이제곱,서울특별시 강북구 도봉로10나길 17 1층
138,황금(복)떡집,서울특별시 강북구 솔매로 82 1층 황금복떡집
139,노란코끼리,서울특별시 강북구 도봉로 170 1층 노란코끼리
140,코오피앤미,서울특별시 강북구 솔샘로 300 1층 좌측
141,"카페051 미아사거
리역점",서울특별시 강북구 숭인로 63-1 1층 104호
142,뻥튀기 공작소,서울특별시 강북구 삼양로27길 19 상가 201동 102호
143,"하삼동커피 서울미아
사거리역점",서울특별시 강북구 도봉로 40 1층103호
144,아이스크림공장,서울특별시 강북구 솔샘로 199-1 1층
145,온혜미로,서울특별시 강북구 솔매로52길 17 1층 온혜미로카페
146,온기,서울특별시 강북구 도봉로55길 4 1층 우측(미아동)
147,"별난아이스25 미아
점",서울특별시 강북구 솔매로 114 1동 1층
148,포너드,서울특별시 강북구 솔매로50길 50 포너드커피
149,카페 탐사란,서울특별시 강북구 도봉로 229 1층 우측 두번째 카페 탐사란
150,"비 커피(BE CO
FFEE)",서울특별시 강북구 도봉로15길 11 1층(미아동)
151,카페29,서울특별시 강북구 오현로 29 1층
152,안젤라,서울특별시 강북구 솔매로 64-1 1층
153,서나 커피앤타르트,서울특별시 강북구 도봉로13가길 9-2 서나 커피앤타르트
154,데니시베이커리,서울특별시 강북구 도봉로 183 데니시베이커리
155,"응응스크르 서울 미
아점",서울특별시 강북구 오현로 45 응응스크르 서울 미아점
156,워더커피,서울특별시 강북구 도봉로53길 16 1층 워더커피
157,디저트가주는여유,서울특별시 강북구 도봉로13길 43 1층
158,메가커피 미아역점,서울특별시 강북구 도봉로 201-2 메가엠지씨 커피미아역점
159,"럼블도씨(rumbl
e doce)",서울특별시 강북구 오패산로 122 럼블도씨(rumble doce)
160,주연커피숍,서울특별시 강북구 도봉로67길 13 주연커피숍
161,솔다방,서울특별시 강북구 도봉로8길 70 솔다방
162,"noc bakesh
op(녹베이크샵)",서울특별시 강북구 숭인로 65-3 1층 nocbakeshop
163,다미베베,서울특별시 강북구 솔매로50길 48 1층
164,메가커피 삼양시장점,서울특별시 강북구 삼양로54길 3 메가커피 삼양시장점
165,"메가커피 미아수유시
장점",서울특별시 강북구 솔매로45길 95 메가커피 미아수유시장점
166,메가커피 미아롯데점,서울특별시 강북구 도봉로10길 38 메가커피 미아롯데점
167,용커피,서울특별시 강북구 오패산로30길 6 내제1층
168,와피 미아역점,서울특별시 강북구 도봉로50길 12 1층 우측
169,빽다방 미아역점,서울특별시 강북구 도봉로 190 1층 빽다방 미아역점
170,곰고미,서울특별시 강북구 도봉로78길 42 곰고미
171,"포트캔커피 삼양사거
리점",서울특별시 강북구 삼양로27길 35-21 109호 포트캔커피
172,라인커피숍,서울특별시 강북구 도봉로 260 2층 라인커피숍
173,"카페베네 미아사거리
역점",서울특별시 강북구 도봉로 67 1층 1호
174,팬더카페,서울특별시 강북구 도봉로 62 팬더카페
175,삼성코인,서울특별시 강북구 덕릉로32길 12 1층
176,"바스켓12(Bask
et 12)",서울특별시 강북구 오패산로30길 73 1층
177,삼양사거리점빽다방,서울특별시 강북구 삼양로 169 1층 빽다방
178,이음,서울특별시 강북구 솔샘로31길 12-5 1층
179,신빵굼터,서울특별시 강북구 삼양로 242 신빵굼터
180,와플대학 삼양캠퍼스,서울특별시 강북구 솔샘로 209 1층 우측2칸
181,달디유,서울특별시 강북구 월계로7길 66 달디유
182,"요거프레소 미아뉴타
운점",서울특별시 강북구 삼양로27길 19 201동 상가 110호
